"iso3","country","year","agricultural_land_pct","forest_area_pct","population","urban_population_pct","fertilizer_kg_ha","livestock_index","cereal_yield","ghg_emissions"
"BGD","Bangladesh",2019,72.1902127986479,14.4687716063609,164913055,30.8228396343012,320.445462644775,123.94,4855.4,205.7444
"BGD","Bangladesh",2020,72.4437274333564,14.4687716063609,166298024,31.1168927321524,325.386565272497,136.86,4885.9,202.7429
"BGD","Bangladesh",2021,72.3515402934624,14.4687716063609,167658854,31.3992156886061,395.72014579444,146.31,4964.4,219.365
"BGD","Bangladesh",2022,72.3706433287272,14.458774758176,169384897,31.673734726234,388.941232933807,153.13,5089.7,222.9794
"KHM","Cambodia",2003,28.8919102651258,60.7493145252663,13050968,18.8881765274479,5.48378378378378,100,2160.6,22.8711
"KHM","Cambodia",2004,29.6283707228643,60.6406752775889,13244731,18.9813615262763,6.81243243243243,102.62,2024.8,22.3969
"KHM","Cambodia",2005,30.3421708588262,60.5320360299116,13439202,19.0922720052225,10.4578378378378,108.87,2508.7,25.1485
"KHM","Cambodia",2006,30.3365057783821,60.4233967822343,13639028,19.2299832388976,10.3194594594595,112.57,2533.1,26.5989
"KHM","Cambodia",2007,30.3365057783821,60.314757534557,13841770,19.4035705019128,10.1583783783784,107.66,2677.3,27.8734
"KHM","Cambodia",2008,30.3365057783821,60.2061182868797,14053479,19.6574509865325,9.86972972972973,101.73,2804.8,28.7927
"KHM","Cambodia",2009,30.1876954452753,60.0974790392024,14276810,20.1979728726519,13.2532432432432,100.29,2938.6,30.3086
"KHM","Cambodia",2010,30.4861262179923,59.988839791525,14500726,21.1232251168762,15.6272678762006,98.71,3015.7,30.9733
"KHM","Cambodia",2011,30.7794912757761,58.0146612281894,14722584,22.3824788531276,20.0875002087892,101,3021.5,32.1391
"KHM","Cambodia",2012,31.1509018808067,56.0404826648538,14945085,23.9411047582349,26.8844739353067,99.01,3177.8,32.0027
"KHM","Cambodia",2013,31.4524427826875,54.0663041015182,15170208,25.7644735090271,24.2308064229372,100.36,3213.4,31.9833
"KHM","Cambodia",2014,31.6826087695445,52.0921255381826,15396772,27.8179557823331,26.9361803151179,101.84,3095.7,33.4022
"KHM","Cambodia",2015,31.9960571040109,50.117946974847,15623251,30.0669222549819,29.6674369067807,98.54,3088.8,35.1735
"KHM","Cambodia",2016,32.2909811919329,49.2359506004985,15852803,32.4767436038024,21.2948647573388,99.62,3266.5,37.8724
"KHM","Cambodia",2017,32.7703597326082,48.35395422615,16073372,35.0127905056235,39.7757444587118,100.42,3438.6,39.8201
"KHM","Cambodia",2018,33.1881078631317,47.4719578518015,16274522,37.6404336372742,42.1927320256664,100.53,3507.8,40.6867
"KHM","Cambodia",2019,33.7162803081804,46.589961477453,16481304,39.5830241256026,42.7632539712131,98.74,3415.2,44.0007
"KHM","Cambodia",2020,34.3013919102651,45.7079651031045,16725474,39.832658030922,44.2410385695224,90.19,3441.3,46.9569
"KHM","Cambodia",2021,34.6999756401541,44.825968728756,16974305,40.1091858128847,49.5837556187719,94.16,3565.6,48.3369
